Target (Entrez)	Target (Gene Symbol)	P-value (global)	P-value (local)	Association	microRNA
6594	SMARCA1	1.82e-08	1.82e-08	negative	hsa-miR-330-3p
25946	ZNF385A	1.89e-08	6.25e-07	negative	hsa-miR-135a
25946	ZNF385A	1.89e-08	3.94e-06	negative	hsa-miR-20a
25946	ZNF385A	1.89e-08	7.87e-06	negative	hsa-miR-20b
25946	ZNF385A	1.89e-08	0.000604	positive	hsa-miR-601
10605	PAIP1	1.96e-08	1.96e-08	positive	hsa-miR-340
898	CCNE1	2.32e-08	1.7e-08	negative	hsa-miR-195
898	CCNE1	2.32e-08	1.39e-07	negative	hsa-miR-16
898	CCNE1	2.32e-08	3.43e-07	negative	hsa-miR-15a
898	CCNE1	2.32e-08	2.44e-05	negative	hsa-miR-107
898	CCNE1	2.32e-08	5.32e-05	negative	hsa-miR-497
9480	ONECUT2	2.68e-08	2.68e-08	positive	hsa-miR-296-5p
26091	HERC4	2.72e-08	2.72e-08	positive	hsa-miR-374a
4627	MYH9	2.97e-08	2.97e-08	negative	hsa-miR-25
4211	MEIS1	3.01e-08	4.81e-14	positive	hsa-miR-452
8467	SMARCA5	3.23e-08	1.07e-09	positive	hsa-miR-30c
8467	SMARCA5	3.23e-08	1.55e-06	positive	hsa-miR-100
8467	SMARCA5	3.23e-08	0.00144	positive	hsa-miR-30b
8073	PTP4A2	3.27e-08	1.57e-09	positive	hsa-miR-23b
8073	PTP4A2	3.27e-08	5.01e-05	positive	hsa-miR-23a
9318	COPS2	4.05e-08	2.46e-11	positive	hsa-miR-16
9318	COPS2	4.05e-08	2.88e-09	positive	hsa-miR-195
9318	COPS2	4.05e-08	3.28e-09	positive	hsa-miR-15a
9318	COPS2	4.05e-08	0.00049	positive	hsa-miR-15b
9318	COPS2	4.05e-08	0.000627	positive	hsa-miR-497
9318	COPS2	4.05e-08	0.00247	positive	hsa-miR-424
27122	DKK3	4.06e-08	6.83e-15	negative	hsa-miR-32
27122	DKK3	4.06e-08	1.28e-07	negative	hsa-miR-92a
8611	PPAP2A	4.19e-08	1.91e-08	positive	hsa-miR-195
8611	PPAP2A	4.19e-08	5.18e-07	positive	hsa-miR-15a
8611	PPAP2A	4.19e-08	9.75e-07	positive	hsa-miR-497
8611	PPAP2A	4.19e-08	2.77e-05	positive	hsa-miR-16
10254	STAM2	4.35e-08	4.35e-08	positive	hsa-miR-218
51133	KCTD3	4.42e-08	1.51e-07	positive	hsa-miR-30b
51133	KCTD3	4.42e-08	3.02e-06	positive	hsa-miR-30c
23063	WAPAL	4.7e-08	8.85e-08	positive	hsa-miR-16
23063	WAPAL	4.7e-08	1e-07	positive	hsa-miR-195
23063	WAPAL	4.7e-08	8.98e-07	positive	hsa-miR-15a
23063	WAPAL	4.7e-08	7.47e-05	positive	hsa-miR-497
23063	WAPAL	4.7e-08	7.75e-05	positive	hsa-miR-429
23063	WAPAL	4.7e-08	0.000186	positive	hsa-miR-338-3p
6814	STXBP3	4.83e-08	2.16e-08	positive	hsa-miR-16
6814	STXBP3	4.83e-08	4.85e-08	positive	hsa-miR-195
6814	STXBP3	4.83e-08	1.92e-05	positive	hsa-miR-15a
6814	STXBP3	4.83e-08	0.000997	positive	hsa-miR-424
6814	STXBP3	4.83e-08	0.00328	positive	hsa-miR-497
1009	CDH11	4.86e-08	1.68e-07	negative	hsa-miR-629
1009	CDH11	4.86e-08	0.000891	positive	hsa-miR-101
130507	UBR3	6.47e-08	1.36e-06	positive	hsa-miR-218
130507	UBR3	6.47e-08	1.48e-06	positive	hsa-miR-590-5p
23269	MGA	7.28e-08	1.44e-07	negative	hsa-miR-494
23269	MGA	7.28e-08	0.00179	negative	hsa-miR-498
103910	MYL12B	7.7e-08	7.7e-08	positive	hsa-miR-23b
1811	SLC26A3	7.78e-08	7.78e-08	positive	hsa-miR-494
348093	RBPMS2	7.87e-08	1.46e-07	positive	hsa-miR-205
348093	RBPMS2	7.87e-08	2.47e-06	positive	hsa-miR-23b
85415	RHPN2	8e-08	8e-08	positive	hsa-miR-96
57708	MIER1	8.56e-08	0.000997	negative	hsa-miR-141
57708	MIER1	8.56e-08	0.00271	negative	hsa-miR-130b
57708	MIER1	8.56e-08	2.37e-07	positive	hsa-miR-23b
57708	MIER1	8.56e-08	4.59e-07	positive	hsa-miR-454
57708	MIER1	8.56e-08	1.32e-05	positive	hsa-miR-130a
57708	MIER1	8.56e-08	2.95e-05	positive	hsa-miR-301a
57708	MIER1	8.56e-08	3.13e-05	positive	hsa-miR-152
57708	MIER1	8.56e-08	5.05e-05	positive	hsa-miR-23a
57708	MIER1	8.56e-08	0.00577	positive	hsa-miR-377
167153	PAPD4	8.68e-08	8.68e-08	positive	hsa-miR-26b
1112	FOXN3	8.78e-08	8.78e-08	positive	hsa-miR-135a
51322	WAC	9.41e-08	8.5e-08	positive	hsa-miR-582-5p
9320	TRIP12	1.02e-07	3.06e-07	negative	hsa-miR-125a-3p
9320	TRIP12	1.02e-07	0.00207	negative	hsa-miR-330-3p
64429	ZDHHC6	1.04e-07	1.35e-07	positive	hsa-miR-26b
64429	ZDHHC6	1.04e-07	8.28e-05	positive	hsa-miR-26a
55668	C14orf118	1.13e-07	1.13e-07	positive	hsa-miR-374b
26512	INTS6	1.14e-07	2.46e-07	positive	hsa-miR-20a
26512	INTS6	1.14e-07	0.00239	positive	hsa-miR-106a
6943	TCF21	1.14e-07	1.14e-07	negative	hsa-miR-92a
7251	TSG101	1.18e-07	3.65e-08	positive	hsa-miR-20b
114883	OSBPL9	1.24e-07	1.24e-07	positive	hsa-miR-125b
286410	ATP11C	1.4e-07	1.4e-07	positive	hsa-miR-455-5p
6734	SRPR	1.5e-07	3.41e-08	positive	hsa-miR-363
6734	SRPR	1.5e-07	0.00262	positive	hsa-miR-424
56916	SMARCAD1	1.67e-07	1.67e-07	positive	hsa-miR-374b
25842	ASF1A	1.74e-07	1.85e-07	positive	hsa-miR-200b
56261	GPCPD1	1.82e-07	2.55e-08	positive	hsa-miR-30c
2589	GALNT1	1.96e-07	1.96e-07	positive	hsa-miR-16
26959	HBP1	2e-07	9.24e-06	negative	hsa-miR-648
26959	HBP1	2e-07	2.09e-06	positive	hsa-miR-29b
26959	HBP1	2e-07	0.000159	positive	hsa-miR-29c
26959	HBP1	2e-07	0.000311	positive	hsa-miR-29a
64118	DUS1L	2.08e-07	6.06e-07	negative	hsa-miR-125a-5p
64118	DUS1L	2.08e-07	4.32e-05	negative	hsa-miR-125b
1982	EIF4G2	2.11e-07	0.0018	negative	hsa-miR-885-5p
1982	EIF4G2	2.11e-07	1.01e-12	positive	hsa-let-7d
1982	EIF4G2	2.11e-07	4.68e-11	positive	hsa-let-7g
10971	YWHAQ	2.13e-07	3.94e-07	positive	hsa-miR-195
10971	YWHAQ	2.13e-07	5.22e-07	positive	hsa-miR-16
10971	YWHAQ	2.13e-07	2.74e-05	positive	hsa-miR-15a
10971	YWHAQ	2.13e-07	0.00512	positive	hsa-miR-15b
91404	SESTD1	2.17e-07	4.61e-05	negative	hsa-miR-130b
91404	SESTD1	2.17e-07	3.43e-07	positive	hsa-miR-130a
91404	SESTD1	2.17e-07	1.15e-05	positive	hsa-miR-29b
91404	SESTD1	2.17e-07	1.33e-05	positive	hsa-miR-29a
91404	SESTD1	2.17e-07	0.000664	positive	hsa-miR-365
6695	SPOCK1	2.18e-07	2.18e-07	positive	hsa-miR-19b
10150	MBNL2	2.24e-07	5.62e-16	positive	hsa-miR-218
10150	MBNL2	2.24e-07	0.00277	positive	hsa-miR-196b
10371	SEMA3A	2.43e-07	4.2e-08	positive	hsa-miR-145
25921	ZDHHC5	2.45e-07	1.72e-07	positive	hsa-miR-363
998	CDC42	2.52e-07	2.26e-08	positive	hsa-miR-15a
26130	GAPVD1	2.71e-07	1.46e-06	negative	hsa-miR-622
26130	GAPVD1	2.71e-07	0.000629	positive	hsa-miR-132
9902	MRC2	2.76e-07	5.86e-09	negative	hsa-miR-183
9902	MRC2	2.76e-07	7.91e-06	positive	hsa-miR-133a
9902	MRC2	2.76e-07	2.45e-05	positive	hsa-miR-133b
5576	PRKAR2A	2.98e-07	2.26e-07	positive	hsa-miR-365
26278	SACS	3.04e-07	3.04e-07	negative	hsa-miR-183
51761	ATP8A2	3.17e-07	3.17e-07	positive	hsa-miR-141
2146	EZH2	3.52e-07	3.52e-07	negative	hsa-miR-101
8536	CAMK1	3.58e-07	9.83e-05	negative	hsa-miR-204
8536	CAMK1	3.58e-07	1.77e-07	positive	hsa-miR-494
29946	SERTAD3	3.68e-07	0.00092	negative	hsa-miR-92a
29946	SERTAD3	3.68e-07	0.00101	negative	hsa-miR-25
29946	SERTAD3	3.68e-07	7.34e-07	positive	hsa-miR-125b
22862	FNDC3A	3.75e-07	3.75e-07	positive	hsa-miR-20b
3667	IRS1	3.84e-07	5.9e-07	negative	hsa-miR-7
89780	WNT3A	3.87e-07	4.29e-07	negative	hsa-miR-195
89780	WNT3A	3.87e-07	8.62e-05	negative	hsa-miR-107
3399	ID3	3.88e-07	3.88e-07	positive	hsa-miR-27b
201161	CENPV	4.29e-07	2.41e-08	negative	hsa-miR-377
3714	JAG2	4.44e-07	4.44e-07	negative	hsa-miR-30b
6383	SDC2	4.47e-07	4.47e-07	negative	hsa-miR-96
54407	SLC38A2	4.57e-07	4.57e-07	negative	hsa-miR-494
8453	CUL2	4.71e-07	5.68e-08	positive	hsa-miR-16
8453	CUL2	4.71e-07	2.12e-07	positive	hsa-miR-30c
8453	CUL2	4.71e-07	7.07e-06	positive	hsa-miR-15a
8453	CUL2	4.71e-07	0.000539	positive	hsa-miR-30b
8453	CUL2	4.71e-07	0.00265	positive	hsa-miR-15b
8453	CUL2	4.71e-07	0.00286	positive	hsa-miR-497
7812	CSDE1	4.75e-07	2.94e-06	positive	hsa-miR-132
7812	CSDE1	4.75e-07	2.77e-05	positive	hsa-miR-424
23392	KIAA0368	4.91e-07	4.91e-07	positive	hsa-miR-183
6895	TARBP2	4.95e-07	8.9e-09	negative	hsa-let-7e
